利润率,记录数,制造商,产品名称,利润,发货日期,国家,地区,城市,子类别,客户名称,折扣,数量,省/自治区,类别,细分,订单 Id,订单日期,邮寄方式,销售额
-47%,1,Fiskars,"Fiskars 剪刀, 蓝色",-￥61,2017/4/29,中国,华东,杭州,用品,曾惠,40%,2,浙江,办公用品,公司,US-2017-1357144,2017/4/27,二级,￥130
34%,1,GlobeWeis,"GlobeWeis 搭扣信封, 红色",￥43,2017/6/19,中国,西南,内江,信封,许安,0%,2,四川,办公用品,消费者,CN-2017-1973789,2017/6/15,标准级,￥125
13%,1,Cardinal,"Cardinal 孔加固材料, 回收",￥4,2017/6/19,中国,西南,内江,装订机,许安,40%,2,四川,办公用品,消费者,CN-2017-1973789,2017/6/15,标准级,￥32
-8%,1,Kleencut,"Kleencut 开信刀, 工业",-￥27,2017/12/13,中国,华东,镇江,用品,宋良,40%,4,江苏,办公用品,公司,US-2017-3017568,2017/12/9,标准级,￥321
40%,1,KitchenAid,"KitchenAid 搅拌机, 黑色",￥550,2016/6/2,中国,中南,汕头,器具,万兰,0%,3,广东,办公用品,消费者,CN-2016-2975416,2016/5/31,二级,"￥1,376"
34%,1,柯尼卡,"柯尼卡 打印机, 红色","￥3,784",2015/10/31,中国,华东,景德镇,设备,俞明,0%,9,江西,技术,消费者,CN-2015-4497736,2015/10/27,标准级,"￥11,130"
36%,1,Ibico,"Ibico 订书机, 实惠",￥173,2015/10/31,中国,华东,景德镇,装订机,俞明,0%,2,江西,办公用品,消费者,CN-2015-4497736,2015/10/27,标准级,￥480
31%,1,Safco,"SAFCO 扶手椅, 可调","￥2,684",2015/10/31,中国,华东,景德镇,椅子,俞明,0%,4,江西,家具,消费者,CN-2015-4497736,2015/10/27,标准级,"￥8,660"
8%,1,Green Bar,"Green Bar 计划信息表, 多色",￥47,2015/10/31,中国,华东,景德镇,纸张,俞明,0%,5,江西,办公用品,消费者,CN-2015-4497736,2015/10/27,标准级,￥588
22%,1,Stockwell,"Stockwell 橡皮筋, 整包",￥34,2015/10/31,中国,华东,景德镇,系固件,俞明,0%,2,江西,办公用品,消费者,CN-2015-4497736,2015/10/27,标准级,￥154
1%,1,爱普生,"爱普生 计算器, 耐用",￥4,2014/12/24,中国,西北,榆林,设备,谢雯,0%,2,陕西,技术,小型企业,CN-2014-4195213,2014/12/22,二级,￥434
27%,1,惠普,"惠普 墨水, 红色",￥640,2017/6/6,中国,东北,哈尔滨,复印机,康青,0%,4,黑龙江,技术,消费者,CN-2017-5801711,2017/6/1,标准级,"￥2,369"
13%,1,Jiffy,"Jiffy 局间信封, 银色",￥89,2015/6/9,中国,华东,青岛,信封,赵婵,0%,3,山东,办公用品,消费者,CN-2015-2752724,2015/6/5,标准级,￥684
26%,1,SanDisk,"SanDisk 键区, 可编程",￥344,2015/6/9,中国,华东,青岛,配件,赵婵,0%,5,山东,技术,消费者,CN-2015-2752724,2015/6/5,标准级,"￥1,327"
48%,1,诺基亚,"诺基亚 充电器, 蓝色","￥2,849",2015/6/9,中国,华东,青岛,电话,赵婵,0%,2,山东,技术,消费者,CN-2015-2752724,2015/6/5,标准级,"￥5,937"
-38%,1,KitchenAid,"KitchenAid 冰箱, 黑色","-￥3,963",2016/11/25,中国,华东,徐州,器具,刘斯云,40%,7,江苏,办公用品,公司,US-2016-2511714,2016/11/22,一级,"￥10,336"
45%,1,Novimex,"Novimex 圆形标签, 红色",￥38,2016/11/25,中国,华东,徐州,标签,刘斯云,0%,3,江苏,办公用品,公司,US-2016-2511714,2016/11/22,一级,￥85
46%,1,Memorex,"Memorex 键盘, 实惠","￥1,071",2017/10/4,中国,华东,上海,配件,白鹄,0%,7,上海,技术,消费者,CN-2017-5631342,2017/10/2,二级,"￥2,330"
28%,1,Acme,"Acme 尺子, 工业",￥24,2017/10/4,中国,华东,上海,用品,白鹄,0%,1,上海,办公用品,消费者,CN-2017-5631342,2017/10/2,二级,￥86
2%,1,Avery,"Avery 孔加固材料, 耐用",￥2,2017/10/4,中国,华东,上海,装订机,白鹄,0%,5,上海,办公用品,消费者,CN-2017-5631342,2017/10/2,二级,￥138
32%,1,Cardinal,"Cardinal 装订机, 回收",￥127,2017/10/4,中国,华东,上海,装订机,白鹄,0%,6,上海,办公用品,消费者,CN-2017-5631342,2017/10/2,二级,￥397
45%,1,三星,"三星 办公室电话机, 整包",￥959,2017/10/4,中国,华东,上海,电话,白鹄,0%,7,上海,技术,消费者,CN-2017-5631342,2017/10/2,二级,"￥2,133"
26%,1,Hewlett,"Hewlett 传真机, 数字化","￥1,163",2017/10/4,中国,华东,上海,复印机,白鹄,0%,3,上海,技术,消费者,CN-2017-5631342,2017/10/2,二级,"￥4,474"
44%,1,Elite,"Elite 开信刀, 工业",￥119,2017/10/4,中国,华东,上海,用品,白鹄,0%,2,上海,办公用品,消费者,CN-2017-5631342,2017/10/2,二级,￥270
-28%,1,Sauder,"Sauder 书架, 金属",-￥464,2016/6/14,中国,华东,温岭,书架,贾彩,40%,4,浙江,家具,公司,US-2016-4150614,2016/6/7,标准级,"￥1,638"
5%,1,Office Star,"Office Star 摇椅, 可调",￥60,2016/6/14,中国,华东,温岭,椅子,贾彩,40%,3,浙江,家具,公司,US-2016-4150614,2016/6/7,标准级,"￥1,205"
-9%,1,OIC,"OIC 图钉, 金属",-￥17,2016/6/14,中国,华东,温岭,系固件,贾彩,40%,5,浙江,办公用品,公司,US-2016-4150614,2016/6/7,标准级,￥199
-24%,1,Accos,"Accos 图钉, 混合尺寸",-￥59,2016/6/14,中国,华东,温岭,系固件,贾彩,40%,8,浙江,办公用品,公司,US-2016-4150614,2016/6/7,标准级,￥249
-47%,1,Fiskars,"Fiskars 剪刀, 蓝色",-￥182,2016/6/14,中国,华东,温岭,用品,贾彩,40%,6,浙江,办公用品,公司,US-2016-4150614,2016/6/7,标准级,￥389
-5%,1,罗技,"罗技 路由器, 实惠",-￥35,2016/6/14,中国,华东,温岭,配件,贾彩,40%,1,浙江,技术,公司,US-2016-4150614,2016/6/7,标准级,￥692
-9%,1,Tenex,"Tenex 灯泡, 黑色",-￥9,2016/6/14,中国,华东,温岭,用具,贾彩,40%,2,浙江,家具,公司,US-2016-4150614,2016/6/7,标准级,￥106
46%,1,Wilson Jones,"Wilson Jones 标签, 回收",￥73,2017/12/15,中国,华东,上海,装订机,马丽,0%,5,上海,办公用品,消费者,CN-2017-4364300,2017/12/12,二级,￥159
46%,1,Fellowes,"Fellowes 文件车, 金属",￥585,2017/10/2,中国,华北,唐山,收纳具,宋栋,0%,2,河北,办公用品,公司,CN-2017-3230180,2017/9/28,二级,"￥1,273"
46%,1,Harbour Creations,"Harbour Creations 椅垫, 可调",￥799,2017/10/2,中国,华北,唐山,椅子,宋栋,0%,5,河北,家具,公司,CN-2017-3230180,2017/9/28,二级,"￥1,738"
-35%,1,Dania,"Dania 书架, 白色",-￥487,2016/11/23,中国,华东,宁波,书架,巩虢,40%,4,浙江,家具,公司,US-2016-1966627,2016/11/19,标准级,"￥1,390"
0%,1,Advantus,"Advantus 灯泡, 耐用",￥0,2016/3/1,中国,华东,上海,用具,常松,0%,5,上海,家具,消费者,CN-2016-1190387,2016/2/28,一级,￥399
13%,1,Boston,"Boston 画布, 蓝色",￥32,2016/9/6,中国,华东,厦门,美术,田黎明,0%,1,福建,办公用品,公司,CN-2016-3216455,2016/9/3,二级,￥250
48%,1,Green Bar,"Green Bar 笔记本, 优质",￥400,2016/9/21,中国,华东,宿州,纸张,谭乐,0%,6,安徽,办公用品,消费者,CN-2016-4690757,2016/9/17,标准级,￥834
34%,1,Smead,"Smead 盘, 工业",￥78,2016/9/21,中国,华东,宿州,收纳具,谭乐,0%,1,安徽,办公用品,消费者,CN-2016-4690757,2016/9/17,标准级,￥228
-23%,1,Lesro,"Lesro 培训桌, 长方形",-￥211,2016/9/21,中国,华东,宿州,桌子,谭乐,25%,1,安徽,家具,消费者,CN-2016-4690757,2016/9/17,标准级,￥932
37%,1,SanDisk,"SanDisk 羊皮纸, 每包 12 个",￥108,2016/7/5,中国,西北,兰州,纸张,徐岱,0%,3,甘肃,办公用品,公司,CN-2016-4674220,2016/7/2,一级,￥292
-22%,1,Breville,"Breville 炉灶, 黑色","-￥2,043",2016/8/1,中国,华东,淮阴,器具,武杰,40%,6,江苏,办公用品,小型企业,US-2016-3857264,2016/7/26,标准级,"￥9,424"
40%,1,KitchenAid,"KitchenAid 搅拌机, 黑色","￥1,651",2016/12/26,中国,东北,肇源,器具,吕兰,0%,9,黑龙江,办公用品,消费者,CN-2016-4054371,2016/12/24,二级,"￥4,128"
0%,1,Fellowes,"Fellowes 锁柜, 蓝色",￥0,2014/5/22,中国,华东,南昌,收纳具,唐婉,0%,2,江西,办公用品,小型企业,CN-2014-2932548,2014/5/17,二级,"￥1,935"
19%,1,Sanford,"Sanford 钢笔, 混合尺寸",￥50,2014/5/22,中国,华东,南昌,美术,唐婉,0%,4,江西,办公用品,小型企业,CN-2014-2932548,2014/5/17,二级,￥267
34%,1,Ibico,"Ibico 打孔机, 透明",￥237,2016/7/20,中国,华东,合肥,装订机,葛毅,0%,5,安徽,办公用品,消费者,CN-2016-3476344,2016/7/16,标准级,￥698
-375%,1,Boston,"Boston 速写本, 蓝色","-￥1,021",2016/6/18,中国,西南,内江,美术,邹涛,80%,6,四川,办公用品,公司,US-2016-5956361,2016/6/16,二级,￥272
13%,1,诺基亚,"诺基亚 充电器, 蓝色",￥237,2016/6/18,中国,西南,内江,电话,邹涛,40%,1,四川,技术,公司,US-2016-5956361,2016/6/16,二级,"￥1,781"
42%,1,Ames,"Ames 邮寄品, 银色",￥150,2016/6/18,中国,西南,内江,信封,邹涛,0%,2,四川,办公用品,公司,US-2016-5956361,2016/6/16,二级,￥357
11%,1,思科,"思科 充电器, 全尺寸","￥1,340",2017/6/22,中国,东北,蛟河,电话,薛磊,0%,4,吉林,技术,消费者,CN-2017-2396895,2017/6/19,二级,"￥12,183"
41%,1,Hewlett,"Hewlett 传真机, 彩色","￥1,229",2017/6/22,中国,东北,蛟河,复印机,薛磊,0%,2,吉林,技术,消费者,CN-2017-2396895,2017/6/19,二级,"￥2,999"
44%,1,Tenex,"Tenex 盘, 工业",￥225,2017/6/22,中国,东北,蛟河,收纳具,薛磊,0%,2,吉林,办公用品,消费者,CN-2017-2396895,2017/6/19,二级,￥510
28%,1,Hamilton Beach,"Hamilton Beach 炉灶, 黑色","￥3,539",2016/5/26,中国,华东,青岛,器具,苏晒明,0%,5,山东,办公用品,消费者,CN-2016-2828982,2016/5/22,标准级,"￥12,641"
16%,1,Hamilton Beach,"Hamilton Beach 烤面包机, 银色",￥217,2016/5/26,中国,华东,青岛,器具,苏晒明,0%,5,山东,办公用品,消费者,CN-2016-2828982,2016/5/22,标准级,"￥1,359"
48%,1,Rogers,"Rogers 文件夹, 蓝色",￥69,2016/5/26,中国,华东,青岛,收纳具,苏晒明,0%,1,山东,办公用品,消费者,CN-2016-2828982,2016/5/22,标准级,￥143
-38%,1,Acme,"Acme 开信刀, 蓝色",-￥130,2017/1/4,中国,东北,沈阳,用品,林丹,40%,4,辽宁,办公用品,消费者,US-2016-4297166,2016/12/31,标准级,￥338
-52%,1,Stockwell,"Stockwell 订书钉, 每包 12 个",-￥72,2017/1/4,中国,东北,沈阳,系固件,林丹,40%,5,辽宁,办公用品,消费者,US-2016-4297166,2016/12/31,标准级,￥138
-34%,1,Accos,"Accos 按钉, 整包",-￥41,2017/1/4,中国,东北,沈阳,系固件,林丹,40%,3,辽宁,办公用品,消费者,US-2016-4297166,2016/12/31,标准级,￥122
-30%,1,Dania,"Dania 古典书架, 白色",-￥695,2016/10/7,中国,中南,黄石,书架,徐健,40%,2,湖北,家具,公司,US-2016-4292548,2016/10/1,标准级,"￥2,314"
38%,1,Smead,"Smead 文件车, 蓝色",￥455,2017/11/23,中国,西北,西安,收纳具,麦虹,0%,2,陕西,办公用品,公司,CN-2017-4838467,2017/11/16,标准级,"￥1,198"
39%,1,佳能,"佳能 传真机, 红色","￥1,152",2014/8/27,中国,中南,阳江,复印机,袁保,0%,2,广东,技术,公司,CN-2014-3232413,2014/8/24,二级,"￥2,955"
